Airline_Name,Food_&_Beverages,Inflight_Entertainment,Seat_Comfort,Staff_Service,Value_for_Money,Review_Count,Rating
AB Aviation,2,0,3,3,2,3,4
Adria Airways,3,2,3,3,3,91,6
Aegean Airlines,4,2,4,4,4,605,8
Aer Lingus,3,2,3,4,3,789,6
Aero VIP,0,0,4,4,4,3,9
Aerocaribbean,0,0,0,0,4,3,3
Aeroflot Russian Airlines,3,3,3,4,4,575,6
Aerolineas Argentinas,3,2,3,3,3,225,5
Aeromar,2,1,3,2,2,9,3
Aeromexico,3,3,3,3,3,499,5
Aerosur,3,2,2,3,2,11,5
Africa World Airlines,4,2,3,4,2,5,4
Afriqiyah Airways,0,0,0,0,3,29,5
Aigle Azur,1,1,3,2,2,14,4
Air Algerie,3,1,2,3,3,46,4
Air Antilles,1,1,3,3,3,2,6
Air Arabia,2,1,2,2,2,102,3
Air Astana,4,4,4,4,4,230,8
Air Austral,3,3,3,3,3,44,6
Air Bagan,4,2,4,5,4,16,6
Air Berlin,3,3,3,3,3,483,5
Air Botswana,2,0,2,2,2,22,6
Air Burkina,4,0,4,4,4,2,6
Air Busan,3,2,4,4,4,20,9
Air Cairo,3,2,2,3,3,9,6
Air Canada,3,3,3,3,3,1551,4
Air Canada rouge,2,2,2,3,2,1179,3
Air Caraibes,2,2,2,2,2,23,4
Air China,2,2,3,3,3,749,4
Air Corsica,3,1,3,4,4,9,6
Air Costa,3,0,5,4,5,1,8
Air Djibouti,0,0,4,3,3,1,5
Air Dolomiti,4,3,3,4,3,61,7
Air Europa,2,2,3,3,2,391,4
Air France,3,3,3,3,3,1052,5
Air Greenland,2,1,2,2,2,14,3
Air Iceland Connect,5,0,5,5,5,2,10
Air India,3,2,3,3,3,827,5
Air India Express,2,1,2,3,3,54,4
Air Italy,3,3,3,3,3,31,5
Air Juan,0,0,2,2,1,23,1
Air KBZ,3,0,4,4,4,9,8
Air Koryo,3,2,4,4,4,54,6
Air Labrador,0,0,3,4,4,1,2
Air Macau,2,1,3,3,2,25,4
Air Madagascar,2,1,3,3,2,28,3
Air Malawi,0,0,0,0,0,2,4
Air Malta,2,1,3,3,3,157,5
Air Mauritius,3,2,2,3,3,177,5
Air Mediterranee,4,1,3,3,3,5,4
Air Memphis,0,0,0,0,2,20,3
Air Moldova,3,1,2,3,3,39,5
Air Namibia,3,2,3,4,3,82,6
Air New Zealand,3,3,3,4,3,688,6
Air Niugini,3,3,3,3,2,42,4
Air North Yukon's Airline,5,0,4,5,3,3,6
Air Nostrum,2,0,4,3,3,43,6
Air Panama,2,0,2,3,2,10,4
Air Pegasus,0,0,4,3,2,3,3
Air Rarotonga,5,0,5,5,5,2,10
Air Serbia,3,2,3,4,3,205,5
Air Seychelles,3,2,3,3,3,67,5
Air Tahiti Nui,3,2,2,3,2,100,4
Air Tanzania,0,0,0,0,1,1,1
Air Transat,3,3,3,3,3,644,5
Air Vanuatu,3,2,3,3,3,47,5
Air Zimbabwe,4,1,3,4,2,24,4
AirAsia,3,1,3,3,3,753,5
AirAsia India,3,2,3,3,2,72,3
AirAsia Philippines,2,1,3,3,2,51,3
AirAsia X,3,1,4,4,4,365,7
AirAsia Zest,0,0,3,3,3,31,6
airBaltic,2,1,3,3,3,233,4
airblue,2,1,2,3,2,38,3
Aircalin,4,3,3,4,4,37,7
Airlink,4,0,4,4,4,9,7
Airnorth,2,0,3,3,3,20,7
AirSWIFT,0,0,4,5,4,2,9
Alaska Airlines,3,2,3,3,3,711,5
Alitalia,3,2,3,3,3,678,5
Allegiant Air,2,1,2,3,2,1330,3
Alliance Airlines,2,1,1,4,3,2,4
Amaszonas,2,2,3,3,2,14,3
American Airlines,2,2,2,2,2,3748,3
American Eagle,3,1,3,3,3,141,5
ANA All Nippon Airways,4,4,4,5,4,520,8
AnadoluJet,2,1,2,3,3,12,5
Andes Líneas Aéreas,0,0,1,1,1,4,1
Ariana Afghan Airlines,3,0,3,4,5,1,6
Arik Air,2,2,2,2,2,50,3
Arkefly,1,1,1,1,2,40,5
Arkia Israeli Airlines,2,1,2,3,3,20,5
Asiana Airlines,4,3,4,4,4,478,8
ASKY Airlines,2,1,2,2,2,16,3
ATA Airlines,2,0,1,2,2,2,2
Atlantic Airways,4,2,4,5,4,10,9
Atlasglobal,3,2,3,3,3,75,6
Aurigny Air,3,1,3,4,3,59,7
Austrian Airlines,3,3,3,4,3,568,6
Avianca,3,3,3,3,3,365,5
Avianca Brazil,3,4,4,4,3,22,6
Avianca Ecuador,3,2,3,3,3,20,5
Avior Airlines,2,1,3,3,3,9,3
Azerbaijan Airlines,4,3,4,4,4,63,7
Azul Airlines,3,3,3,3,3,72,7
Azur Air Germany,2,1,1,2,1,2,1
BA CityFlyer,4,0,5,4,4,69,8
Badr Airlines,5,0,3,5,4,1,8
Bahamasair,2,2,2,2,2,50,3
Bamboo Airways,3,3,4,4,3,19,5
Bangkok Airways,4,1,4,4,4,382,8
Bassaka Air,5,0,4,4,4,9,8
Batik Air,3,3,4,3,3,76,6
Beijing Capital Airlines,2,2,4,5,4,5,6
Belavia,3,2,3,3,3,44,6
Berjaya Air,3,3,3,3,4,12,8
BH Air,2,1,3,2,3,9,6
Bhutan Airlines,4,4,4,4,4,5,7
Biman Bangladesh Airlines,3,2,3,3,3,80,6
Binter Canarias,4,0,4,4,4,16,7
Blu-express,1,1,1,1,2,14,4
Blue Air,3,1,2,3,3,98,4
Blue Islands,2,1,3,3,3,47,6
Blue Panorama Airlines,2,1,2,2,2,35,2
Blue1,2,0,3,3,3,27,5
bmi Regional,3,2,3,4,3,58,5
Boliviana de Aviacion,3,2,3,3,4,21,6
BoraJet,3,0,3,3,1,1,1
Boutique Air,3,3,3,2,2,8,4
British Airways,3,3,3,3,3,3137,5
Brussels Airlines,3,2,3,3,3,475,5
Buddha Air,2,2,3,4,2,9,5
Bulgaria Air,2,1,2,3,3,103,6
Buraq Air,0,0,4,4,4,1,7
Buta Airways,3,1,3,3,3,8,4
Camair-Co,1,0,2,2,2,2,1
Cambodia Airways,0,0,0,0,1,1,1
Cambodia Angkor Air,2,1,2,2,2,83,4
Cambodia Bayon Airlines,2,0,3,4,4,1,3
Canadian North,4,0,4,4,3,7,6
Canaryfly,3,0,4,4,4,7,5
Cape Air,0,0,2,2,2,27,4
Caribbean Airlines,3,2,3,3,3,88,5
Carpatair,0,0,0,0,4,10,4
Cathay Dragon,4,4,4,4,4,62,7
Cathay Pacific Airways,3,4,4,4,4,1336,7
Cayman Airways,2,1,2,2,2,21,3
Cebu Pacific,2,1,3,3,3,301,4
Central Mountain Air,2,1,2,2,3,10,5
China Airlines,3,3,3,4,4,431,6
China Eastern Airlines,3,2,3,3,3,659,5
China Southern Airlines,4,4,4,4,4,1835,8
China United Airlines,3,1,3,2,3,4,4
Citilink,3,1,3,4,4,50,7
CityJet,3,1,3,3,3,100,6
Coastal Aviation,0,0,4,4,5,3,9
Cobalt,4,2,4,4,4,18,6
Comair,3,2,3,3,3,50,5
Condor Airlines,3,2,3,3,3,346,4
Conviasa,0,0,0,0,4,5,8
Copa Airlines,3,2,3,3,3,261,5
Corendon Airlines,2,1,3,3,3,23,4
Corsair,3,2,3,3,3,44,5
Croatia Airlines,3,1,3,4,3,83,6
CSA Czech Airlines,3,2,3,3,3,224,5
Cubana Airlines,2,1,3,3,2,102,4
Cyprus Airways,1,1,2,3,2,8,3
Danish Air Transport,3,0,3,4,3,5,7
Darwin Airline,2,2,3,3,3,40,6
Delta Air Lines,3,3,3,3,3,1880,5
Dimonim Air,0,0,3,3,5,1,7
Dniproavia,0,0,0,0,4,8,8
Dragonair,4,3,4,4,4,173,7
Druk Air,4,1,4,5,3,19,8
Dynamic International Airways,0,0,2,2,1,1,1
Eastar Jet,2,1,3,3,3,13,5
Eastern Airways,2,1,2,3,2,60,5
Easyfly,3,0,3,3,3,6,5
easyJet,3,1,3,3,3,1243,5
Edelweiss Air,4,4,3,4,3,83,7
Egyptair,3,2,3,3,3,368,5
El Al Israel Airlines,3,2,3,3,3,251,5
Ellinair,4,3,4,5,4,13,8
Emirates,3,4,3,3,3,2023,6
Eritrean Airlines,0,0,0,0,4,6,6
Ernest Airlines,0,0,2,2,2,4,3
Estonian Air,3,2,4,4,4,44,6
Ethiopian Airlines,3,3,3,3,3,467,5
Etihad Airways,3,3,3,3,3,1512,4
euroAtlantic Airways,2,2,1,2,2,13,2
Europe Airpost,4,3,4,4,5,1,9
Eurowings,2,2,2,2,2,339,3
EVA Air,4,4,4,4,4,584,8
Evelop Airlines,2,2,2,2,3,5,3
EWA Air,0,0,3,1,1,1,1
Ravn Alaska,1,1,2,2,1,9,1
Far Eastern Air Transport,2,0,2,3,3,4,4
fastjet,2,1,3,3,2,30,4
Felix Airways,0,0,4,4,3,2,8
Fiji Airways,3,2,3,3,3,281,5
Finnair,3,3,3,4,3,755,6
Firefly,4,3,4,4,4,66,7
Flair Airlines,2,1,2,2,2,395,3
Fly540.com,2,1,2,2,3,33,4
flyadeal,3,1,2,2,2,9,2
FlyArystan,5,0,5,5,4,5,8
Flybe,2,0,3,3,2,788,4
flydubai,2,2,2,3,3,255,4
Flynas,2,2,2,2,2,35,3
FlySafair,3,1,3,3,3,55,4
FMI Air,5,0,4,5,5,2,10
Freebird Airlines,2,1,2,3,2,49,5
French Bee,3,3,3,3,2,18,3
Frontier Airlines,1,1,2,2,2,1886,2
Garuda Indonesia,4,4,4,5,4,838,8
Georgian Airways,2,1,3,3,2,41,3
Germania Airline,3,3,3,3,3,19,5
Germanwings,2,1,3,3,3,145,6
GoAir,2,1,2,2,2,190,3
Gol Transportes Aéreos,2,1,3,3,3,72,4
Golden Myanmar Airlines,4,0,4,5,5,3,9
Grand Cru Airlines,5,0,5,5,5,1,10
Gulf Air,3,3,3,3,3,299,6
Hainan Airlines,4,4,4,5,4,391,8
Hawaiian Airlines,3,2,3,3,3,397,5
Helvetic Airways,3,1,3,3,3,27,7
Henan Airlines,0,0,0,0,4,1,8
Hi Fly,3,3,3,3,3,21,6
HK Express,2,2,3,3,3,80,4
Hong Kong Airlines,3,3,3,4,3,141,5
HOP!,3,2,3,4,3,13,6
Horizon Air,3,1,3,4,4,24,6
Hunnu Air,4,0,5,5,4,1,9
Iberia,3,3,3,3,3,720,5
Iberia Express,2,2,2,3,2,51,4
Icelandair,3,3,3,3,3,583,5
IndiGo,3,1,3,4,4,321,7
Insel Air,2,2,2,2,2,76,3
Intercaribbean Airways,1,1,2,3,1,3,1
Interjet,2,1,2,2,2,205,2
InterSky,4,1,4,5,4,8,6
Iran Air,4,2,4,4,4,63,6
Iran Aseman Airlines,4,0,3,4,3,7,5
Iraqi Airways,4,3,3,3,3,2,5
Island Air,1,1,2,2,2,34,4
Israir Airlines,3,3,3,4,3,22,3
Japan Airlines,4,4,4,4,4,349,7
Jazeera Airways,2,1,2,2,2,36,3
Jazz,4,3,3,5,4,5,8
JC International Airlines,0,0,0,0,1,1,1
Jeju Air,2,1,2,3,2,20,4
Jet Airways,3,2,3,3,3,1061,5
Jet2.com,3,1,3,4,4,540,7
Jetairfly,3,3,3,4,3,22,5
Jetblue Airways,3,3,3,3,3,811,5
JetSmart,3,1,2,2,4,3,4
Jetstar Airways,2,2,2,3,3,1076,4
Jetstar Asia,2,1,3,3,3,186,5
Jetstar Japan,2,1,2,2,2,34,2
Jetstar Pacific,2,1,2,2,2,109,3
JetsuiteX,5,0,5,5,5,1,10
Jin Air,3,1,3,4,4,17,7
Joon,2,3,2,3,2,11,3
Jordan Aviation,4,0,5,5,5,1,9
Juneyao Airlines,2,1,3,3,3,33,5
Kam Air,3,1,2,3,2,28,3
Kan Air,3,0,4,4,3,2,6
Karthago Airlines,0,0,0,0,3,38,3
KD Air,0,0,0,0,1,1,1
Kenya Airways,3,2,3,3,3,344,5
Kish Airlines,3,1,3,3,3,3,5
KLM Royal Dutch Airlines,3,3,3,4,3,1167,6
Korean Air,4,4,4,4,4,533,8
Kulula,2,1,2,3,2,71,4
Kuwait Airways,3,2,3,3,3,291,4
La Compagnie,4,3,4,4,4,44,6
LAM Mozambique,3,2,3,3,2,31,3
LAN Airlines,3,3,4,4,3,332,6
LAN Colombia,3,4,4,4,4,8,6
LAN Peru,3,3,3,4,3,42,4
Lao Airlines,3,0,4,4,4,1,9
Lao Skyway,3,2,4,4,4,72,8
LATAM Airlines,2,3,3,3,2,316,4
Laudamotion,2,1,2,2,2,33,3
LC Perú,3,3,3,3,2,14,4
Level,2,3,3,3,2,56,3
LIAT,1,0,2,2,2,119,4
Libyan Airlines,4,4,4,4,3,16,5
Lion Air,1,1,2,2,3,182,4
Loch Lomond Seaplanes,0,5,5,5,5,2,8
Loganair,4,0,4,4,3,17,7
LOT Polish Airlines,3,2,3,3,3,501,5
Lucky Air,3,0,4,3,2,7,3
Lufthansa,3,3,3,4,3,1664,6
Luxair,4,2,3,3,3,79,6
Mack Air,0,0,4,3,5,1,9
Madagasikara Airways,5,0,4,5,5,2,10
Mahan Air,4,3,4,4,4,28,7
Malawian Airlines,4,0,3,3,2,11,4
Malaysia Airlines,3,3,3,4,4,1176,6
Maldivian,3,0,3,4,3,4,5
Malindo Air,2,3,3,3,3,329,4
Malmo Aviation,5,5,5,5,5,9,7
Mandarin Airlines,3,0,4,5,5,4,8
Mango Airlines,2,2,2,2,2,103,4
Mann Yadanarpon Airlines,4,0,4,4,3,2,8
Martinair,0,0,0,0,2,22,3
Mauritania Airlines,1,1,2,1,3,2,3
Maya Island Air,0,0,2,1,1,1,1
MAYAir,0,0,3,4,4,1,1
MEGA Maldives Airlines,2,0,1,4,1,1,4
Meridiana,3,2,3,3,3,108,5
MIAT Mongolian Airlines,3,2,3,3,3,33,6
Middle East Airlines,3,3,3,3,3,87,6
Mihin Lanka,2,1,3,3,4,6,5
Mokulele Airlines,1,0,3,3,2,11,3
Moldavian Airlines,0,0,0,0,4,5,8
Monarch Airlines,3,1,3,4,3,452,6
Montenegro Airlines,3,1,3,2,3,19,5
Motor Sich Airlines,4,0,3,4,4,3,6
Myanmar Airways,3,1,3,4,4,27,8
Myanmar National Airlines,4,4,4,5,4,11,8
NAM Air,2,1,2,3,3,11,4
Nature Air,0,0,3,3,1,16,2
Nauru Airlines,4,1,5,5,4,2,9
Nepal Airlines,3,2,3,4,3,26,5
NextJet,4,0,1,2,1,1,3
NIKI,3,2,3,3,3,42,8
Nile Air,4,0,3,4,5,1,8
Nok Air,3,1,3,3,3,126,6
NokScoot,2,0,2,2,3,2,5
Nordavia,5,5,3,4,2,4,6
Nordic Regional Airlines,2,0,3,3,3,1,6
Nordica,2,0,5,5,4,2,9
NordStar,3,0,3,3,5,1,7
Nordwind Airlines,1,0,3,2,4,1,7
Norwegian,3,3,3,3,3,1302,5
Nouvelair,2,1,2,2,2,7,4
Novair,0,0,0,0,1,1,7
Novoair,3,1,3,4,3,2,4
Okay Airways,2,0,3,2,4,4,6
Olympic Air,4,1,4,4,4,79,7
Oman Air,3,4,4,4,4,411,6
Omni Air International,3,2,3,4,3,7,5
Onur Air,2,1,2,2,3,133,5
Openskies,1,1,2,2,2,65,6
Orient Thai Airlines,1,0,2,2,3,41,7
Pakistan Intl Airlines,3,2,3,3,3,158,5
PAL Express,2,1,3,3,4,8,5
Pan Pacific Airlines,1,0,1,1,1,1,1
Passaredo,1,1,2,2,3,3,3
Passion Air,3,0,2,3,4,1,6
PAWA Dominicana,3,0,3,5,3,2,5
Peach Aviation,3,0,3,3,3,56,5
Pegasus Airlines,2,1,2,3,3,327,4
PenAir,2,0,3,3,2,3,3
Peruvian Airlines,2,1,2,2,2,43,2
Petroleum Air Services,5,0,5,4,5,2,9
Philippine Airlines,3,3,3,4,3,695,6
Phuket Air,0,0,0,0,0,40,2
Pobeda Airlines,1,1,2,2,2,35,2
Porter Airlines,3,1,3,3,2,288,4
Precision Air,3,1,3,3,3,75,4
Primera Air,1,2,4,3,3,7,3
Privilege Style,3,1,3,3,3,13,5
Qantas Airways,3,3,3,4,3,1527,6
QantasLink,3,1,3,3,3,106,7
Qatar Airways,4,4,4,4,4,1712,7
Qazaq Air,5,0,4,5,5,2,9
Ravn Alaska,3,1,2,3,2,9,4
Red Wings Airlines,4,5,4,5,3,2,5
Regent Airways,2,2,3,3,3,22,5
Regional Express,3,0,3,4,3,62,6
Rhein-Neckar Air,5,0,4,5,5,1,10
Rossiya Airlines,3,1,3,4,4,45,6
Royal Air Maroc,3,2,3,3,3,290,5
Royal Brunei Airlines,4,3,4,4,4,349,7
Royal Jordanian Airlines,3,3,3,3,3,300,5
Rwandair,3,2,3,3,3,69,5
Ryanair,2,1,2,3,3,1914,5
S7 Siberia Airlines,3,2,4,4,4,62,7
SA Express,2,1,2,2,2,45,5
Safarilink,3,0,4,2,3,2,8
Safi Airways,1,0,1,2,2,10,5
Salam Air,0,1,3,4,4,2,6
Sansa Airlines,0,1,4,5,3,4,5
Santa Barbara Airlines,3,2,2,3,3,25,5
SAS Scandinavian,3,2,3,3,3,691,5
SATA Air Azores,2,1,2,2,2,130,4
SATA International,2,2,2,2,2,105,4
SATENA,0,0,3,3,3,2,5
Saudi Arabian Airlines,3,3,3,3,3,297,5
SCAT Airlines,3,0,3,4,5,4,7
Scoot,2,1,3,3,3,562,5
Seaborne Airlines,1,0,2,2,1,15,2
SereneAir,4,1,4,5,4,4,8
Shaheen Air,4,0,4,4,4,12,7
Shandong Airlines,3,2,3,4,3,24,5
Shanghai Airlines,3,2,3,3,3,72,5
Shenzhen Airlines,2,2,3,3,3,42,4
Sichuan Airlines,3,2,3,3,3,48,5
SilkAir,3,2,3,4,3,214,7
Silver Airways,1,1,2,2,2,90,2
Singapore Airlines,4,4,4,4,4,1272,7
Sky Airline,3,1,2,3,2,36,4
Sky Express Airlines,3,1,3,3,3,26,4
Skybus,0,0,0,0,0,2,3
Skymark Airlines,4,1,4,5,4,17,8
Skytrans Airlines,5,0,4,5,3,1,8
SkyWest Airlines,1,1,3,3,3,37,7
SkyWork Airlines,3,0,3,3,2,2,5
Small Planet Airlines,3,2,3,4,4,85,6
Smartavia,0,0,1,1,2,1,1
SmartLynx Airlines,1,0,2,4,1,2,2
SmartWings,2,2,2,2,2,85,4
Sol Líneas Aéreas,0,0,0,0,1,1,1
Solomon Airlines,3,1,4,4,3,9,7
Somon Air,2,1,3,3,3,3,4
South African Airways,3,3,3,3,3,434,6
Southwest Airlines,3,2,3,3,3,1152,5
SpiceJet,2,1,2,3,2,388,4
Spirit Airlines,1,1,2,2,2,3361,3
Spring Airlines,2,1,2,3,3,59,5
SriLankan Airlines,4,3,3,4,4,542,6
Sriwijaya Air,3,1,3,3,3,52,5
Star Peru,2,1,2,2,2,18,4
StarFlyer,5,4,5,5,5,5,8
Sudan Airways,0,0,0,0,0,1,1
Sun Country Airlines,2,2,2,3,2,245,4
Sun-Air,5,3,5,5,5,2,10
SunExpress,3,2,3,4,2,39,4
Sunwing Airlines,2,2,2,3,2,660,3
Suparna Airlines,1,1,4,4,3,1,5
Surinam Airways,3,2,3,3,3,20,6
SVG Air,0,0,3,4,3,1,6
Swiss Intl Air Lines,4,3,3,4,3,813,6
Swoop,2,2,3,3,2,444,4
SyrianAir,0,0,0,0,4,23,3
T'Way Air,0,1,2,3,3,8,4
TAAG Angola Airlines,3,2,3,3,3,44,5
TACA Airlines,3,2,4,4,4,80,7
TACA Regional,0,0,0,0,2,3,6
TACV Cabo Verde Airlines,2,1,3,3,2,24,3
TAG Airlines,4,1,3,4,2,5,4
Tailwind Airlines,4,0,3,2,3,3,5
Tajik Air,0,0,0,0,0,4,0
TAM Airlines,3,3,3,3,3,226,5
TAME,1,1,2,2,1,37,2
Tame Línea Aérea Del Ecuador,1,1,2,2,2,12,2
TAP Portugal,3,2,3,3,3,1022,4
TAR Aerolineas,2,1,3,4,3,6,4
TAROM Romanian,4,2,3,4,3,152,6
Thai AirAsia,3,2,3,3,3,72,5
Thai Airways,4,3,4,4,4,875,7
Thai Lion Air,2,1,2,2,2,135,3
Thai Smile Airways,4,3,4,4,4,93,7
Thomas Cook Airlines,3,2,3,3,3,642,5
Thomas Cook Airlines Belgium,5,3,4,4,3,5,5
Thomas Cook Airlines Scandinavia,3,3,3,3,3,9,6
Thomson Airways,3,2,3,3,3,586,6
Tianjin Airlines,3,2,3,4,4,15,7
Tibet Airlines,3,3,4,4,4,1,8
Tigerair,2,1,3,3,3,183,6
Tigerair Australia,2,1,2,2,2,506,3
Tigerair Taiwan,5,3,3,3,3,7,4
Titan Airways,4,3,4,4,4,24,7
Transaero Airlines,2,1,3,3,3,55,5
TransAsia Airways,0,0,0,0,4,7,8
Transavia,2,2,3,3,3,185,4
Trigana Air,3,0,4,4,4,2,8
Tropic Air Belize,0,0,4,5,5,2,8
TUI Airways,3,2,3,3,3,45,5
TUIfly,2,2,2,3,3,59,4
TUIfly Nordic,4,2,1,4,1,1,5
Tunisair,2,1,3,3,3,78,5
Turkish Airlines,3,3,3,3,3,1793,5
Turkmenistan Airlines,3,1,3,3,3,39,4
Ukraine International,2,1,2,3,3,382,4
United Airlines,2,2,2,2,2,3410,3
UP by El Al,2,2,2,2,3,4,4
Ural Airlines,3,1,3,3,3,18,4
US Airways,2,2,3,3,3,460,4
US-Bangla Airlines,5,0,3,4,4,6,6
Utair Aviation,2,1,2,2,3,10,6
Uzbekistan Airways,3,2,3,3,3,65,5
V Air,4,3,3,3,3,7,5
Vanilla Air,2,1,3,3,3,13,5
ViaAir,3,3,2,2,1,11,2
VietJet Air,2,1,2,2,2,398,3
Vietnam Airlines,3,2,3,3,4,621,6
Virgin America,3,4,4,3,3,310,7
Virgin Atlantic,3,3,3,3,3,768,5
Virgin Australia,3,3,3,3,3,830,5
Vistara,4,3,4,5,4,123,8
Viva Air,1,1,1,1,1,39,1
VivaAerobús,2,1,2,2,2,29,2
VivaColombia,1,1,2,1,2,44,2
VLM Airlines,4,0,4,5,4,46,5
Volaris,2,1,2,2,2,209,3
Volotea,2,1,3,3,2,115,3
Vueling Airlines,2,1,2,2,2,1089,3
Wamos Air,2,2,2,2,2,14,3
WestJet Airlines,3,2,3,3,3,597,4
Wideroe,2,0,3,3,2,13,4
Winair,0,0,2,2,1,3,3
Wingo,3,0,3,4,2,7,3
Wings Air,1,1,3,2,2,18,4
Wizz Air,2,1,2,3,2,952,4
WOW air,2,1,2,2,2,579,3
Xiamen Airlines,3,3,3,3,3,114,5
XL Airways France,3,2,2,3,3,78,5
Yakutia Airlines,3,0,3,3,4,4,6
Yangon Airways,4,0,5,4,4,4,9
Yemenia,0,0,0,0,4,24,4
Yeti Airlines,3,0,3,3,4,3,6
